City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Karlskoga,SE,2020-02-20 04:40:31,59.33,14.52,30.99,92,33,3.36
110,Ojinaga,MX,2020-02-20 04:40:32,29.57,-104.42,55.4,87,90,2.59
111,Eyl,SO,2020-02-20 04:40:32,7.98,49.82,78.13,74,100,12.03
112,Harlingen,US,2020-02-20 04:39:02,26.19,-97.7,63.0,93,90,9.17
113,Campbellton,CA,2020-02-20 04:40:33,48.01,-66.67,-9.81,80,89,13.44
114,Alta Floresta,BR,2020-02-20 04:40:33,-9.88,-56.09,71.92,97,100,3.13
115,Sur,OM,2020-02-20 04:40:34,22.57,59.53,80.11,25,24,3.65
116,Ruteng,ID,2020-02-20 04:40:34,-8.61,120.47,72.77,89,100,2.86
117,Mafra,BR,2020-02-20 04:40:34,-26.11,-49.81,68.0,93,61,2.01
118,Upernavik,GL,2020-02-20 04:40:34,72.79,-56.15,0.77,94,100,5.1
119,Matagami,CA,2020-02-20 04:40:34,49.75,-77.63,-14.8,83,1,5.82
120,Bhalwal,PK,2020-02-20 04:40:35,32.27,72.9,71.37,39,14,8.59
121,La Palma,US,2020-02-20 04:40:35,33.85,-118.05,59.0,71,1,2.04
122,Faya,SA,2020-02-20 04:40:35,18.39,42.45,57.2,82,100,5.82
123,Aykhal,RU,2020-02-20 04:40:36,66.0,111.5,5.0,92,59,6.71
124,Gat,IL,2020-02-20 04:40:36,31.61,34.76,57.0,93,75,3.36
125,Custoias,PT,2020-02-20 04:40:36,41.11,-7.32,36.0,8,0,2.15
126,Tiksi,RU,2020-02-20 04:40:36,71.69,128.87,-2.25,83,100,12.17
127,Egvekinot,RU,2020-02-20 04:40:37,66.32,-179.17,-17.07,86,0,9.35
128,Beringovskiy,RU,2020-02-20 04:40:37,63.05,179.32,-14.3,84,0,16.11
129,Katsuura,JP,2020-02-20 04:40:37,35.13,140.3,57.99,57,75,3.36
130,Marawi,PH,2020-02-20 04:40:37,8.0,124.29,82.99,78,23,7.0
131,Villaviciosa,ES,2020-02-20 04:40:38,43.48,-5.44,43.0,93,1,5.82
132,Oktyabrskiy,RU,2020-02-20 04:40:38,54.48,53.47,31.96,97,99,7.81
133,Neiafu,TO,2020-02-20 04:40:38,-18.65,-173.98,82.4,74,40,4.7
134,Tura,IN,2020-02-20 04:40:38,25.52,90.22,85.53,24,100,3.78
135,Port Lincoln,AU,2020-02-20 04:40:39,-34.73,135.87,64.44,57,98,11.54
136,Leningradskiy,RU,2020-02-20 04:40:39,69.38,178.42,-9.76,93,100,20.54
137,Hovd,MN,2020-02-20 04:40:39,48.01,91.64,15.64,36,100,3.74
138,Dwarka,IN,2020-02-20 04:40:39,22.24,68.97,74.95,72,0,9.08
139,Tuatapere,NZ,2020-02-20 04:40:40,-46.13,167.68,72.0,68,100,3.0
140,Kodiak,US,2020-02-20 04:37:24,57.79,-152.41,33.8,86,90,20.8
141,Natal,BR,2020-02-20 04:40:40,-5.79,-35.21,77.0,94,20,5.82
142,Yeppoon,AU,2020-02-20 04:40:40,-23.13,150.73,96.8,47,20,3.36
143,Coihaique,CL,2020-02-20 04:38:17,-45.58,-72.07,44.6,75,0,2.24
144,Nome,US,2020-02-20 04:40:41,64.5,-165.41,7.0,71,90,12.75
145,Palora,EC,2020-02-20 04:36:38,-1.7,-77.93,65.03,95,25,2.46
146,Rio Grande,BR,2020-02-20 04:40:41,-32.03,-52.1,71.62,82,0,11.41
147,Hasaki,JP,2020-02-20 04:39:05,35.73,140.83,57.0,47,75,4.7
148,Provideniya,RU,2020-02-20 04:40:42,64.38,-173.3,1.4,64,100,6.71
149,Agadez,NE,2020-02-20 04:39:40,19.75,10.25,52.59,34,12,7.27
150,Lompoc,US,2020-02-20 04:36:10,34.64,-120.46,53.01,87,90,3.36
151,Khasan,RU,2020-02-20 04:40:43,42.43,130.64,33.53,48,0,10.45
152,Bengkulu,ID,2020-02-20 04:40:43,-3.8,102.27,92.53,47,3,0.27
153,Moose Factory,CA,2020-02-20 04:40:43,51.26,-80.61,-13.0,69,1,9.17
154,Portland,US,2020-02-20 04:40:43,45.52,-122.68,48.2,36,1,17.22
155,Saint-Philippe,RE,2020-02-20 04:40:44,-21.36,55.77,82.0,65,0,10.29
156,Wanaka,NZ,2020-02-20 04:40:44,-44.7,169.15,60.96,61,96,7.67
157,Kailua,US,2020-02-20 04:40:44,21.4,-157.74,75.2,64,40,17.22
158,Coquimbo,CL,2020-02-20 04:40:44,-29.95,-71.34,59.0,93,75,6.93
159,Buchanan,LR,2020-02-20 04:40:44,5.88,-10.05,75.2,94,75,1.34
160,Lima,PE,2020-02-20 04:39:19,-12.04,-77.03,75.2,88,40,11.41
161,Neuquen,AR,2020-02-20 04:40:10,-38.95,-68.06,57.2,44,0,7.38
162,Porto Santo,PT,2020-02-20 04:37:10,33.07,-16.34,60.8,62,75,13.87
163,Acari,PE,2020-02-20 04:40:45,-15.43,-74.62,67.64,90,100,2.89
164,Dalmeny,CA,2020-02-20 04:40:46,52.33,-106.77,5.0,77,5,8.05
165,Itarema,BR,2020-02-20 04:40:46,-2.92,-39.92,74.44,93,100,3.67
166,Garowe,SO,2020-02-20 04:39:24,8.41,48.48,74.98,62,100,10.89
167,Arraial Do Cabo,BR,2020-02-20 04:40:46,-22.97,-42.03,77.34,86,100,23.94
168,Ribeira Grande,PT,2020-02-20 04:40:47,38.52,-28.7,51.8,62,40,3.36
169,Clyde River,CA,2020-02-20 04:40:47,70.47,-68.59,-13.0,83,90,17.22
170,Jalingo,NG,2020-02-20 04:40:47,8.88,11.37,69.85,23,48,5.64
171,Touros,BR,2020-02-20 04:40:48,-5.2,-35.46,77.0,94,75,6.93
172,Sangar,RU,2020-02-20 04:40:48,63.92,127.47,-10.53,92,98,10.69
173,Yulara,AU,2020-02-20 04:40:48,-25.24,130.99,93.2,14,85,10.29
174,Lethem,GY,2020-02-20 04:40:48,3.38,-59.8,77.74,59,84,15.5
175,Polunochnoye,RU,2020-02-20 04:40:49,60.87,60.42,29.52,85,46,6.62
176,Caravelas,BR,2020-02-20 04:40:49,-17.71,-39.25,80.4,80,13,11.83
177,Cedar Lake,US,2020-02-20 04:40:50,41.36,-87.44,23.0,49,40,7.65
178,Pisco,PE,2020-02-20 04:40:50,-13.7,-76.22,71.6,88,100,11.41
179,Grindavik,IS,2020-02-20 04:40:50,63.84,-22.43,35.6,76,90,20.8
180,Sao Gabriel Da Cachoeira,BR,2020-02-20 04:40:51,-0.13,-67.09,75.56,87,97,1.68
181,Belmonte,BR,2020-02-20 04:40:51,-15.86,-38.88,75.2,88,20,3.36
182,Rudiskes,LT,2020-02-20 04:40:51,54.52,24.83,37.4,94,90,4.7
183,Muli,MV,2020-02-20 04:40:51,2.92,73.57,81.9,76,30,18.23
184,Nantucket,US,2020-02-20 04:40:51,41.28,-70.1,33.8,46,1,10.29
185,Teguise,ES,2020-02-20 04:40:52,29.06,-13.56,60.8,67,40,10.29
186,Blitar,ID,2020-02-20 04:40:52,-8.1,112.17,79.07,87,100,11.83
187,Lhokseumawe,ID,2020-02-20 04:37:20,5.18,97.15,85.73,56,7,6.17
188,Powell River,CA,2020-02-20 04:40:53,49.85,-124.54,37.99,71,40,2.24
189,Mehamn,NO,2020-02-20 04:40:53,71.04,27.85,26.6,79,40,12.75
190,Sitka,US,2020-02-20 04:39:27,57.05,-135.33,39.2,80,90,10.29
191,Haukipudas,FI,2020-02-20 04:40:53,65.17,25.5,12.2,92,0,2.24
192,Tabou,CI,2020-02-20 04:40:54,4.42,-7.35,76.21,95,50,2.57
193,Nizwa,OM,2020-02-20 04:40:54,22.93,57.53,73.4,23,67,4.34
194,Hwange,ZW,2020-02-20 04:40:54,-18.37,26.5,71.64,84,0,5.61
195,Yinchuan,CN,2020-02-20 04:40:54,38.47,106.27,41.0,20,100,6.42
196,Coolidge,US,2020-02-20 04:40:55,32.98,-111.52,69.01,38,1,8.05
197,Norman Wells,CA,2020-02-20 04:40:55,65.28,-126.83,10.4,72,75,4.7
198,Airai,TL,2020-02-20 04:40:55,-8.93,125.41,76.82,84,70,2.44
199,Mar Del Plata,AR,2020-02-20 04:40:55,-38.0,-57.56,61.0,76,35,4.7
200,Coahuayana,MX,2020-02-20 04:40:56,18.73,-103.68,72.48,57,0,3.36
201,Onalaska,US,2020-02-20 04:40:56,43.88,-91.24,5.0,54,1,4.5
202,Salalah,OM,2020-02-20 04:37:45,17.02,54.09,73.4,69,75,4.7
203,Ponta Delgada,PT,2020-02-20 04:40:56,37.73,-25.67,53.6,62,20,17.22
204,Sorland,NO,2020-02-20 04:40:56,67.67,12.69,32.0,61,75,11.41
205,Chicama,PE,2020-02-20 04:40:57,-7.84,-79.15,71.6,88,75,9.17
206,Nhulunbuy,AU,2020-02-20 04:40:57,-12.23,136.77,77.0,94,90,9.17
207,Westport,US,2020-02-20 04:38:23,41.14,-73.36,35.6,54,1,5.82
208,Havoysund,NO,2020-02-20 04:40:57,71.0,24.66,28.4,86,75,19.46
209,Kruisfontein,ZA,2020-02-20 04:40:58,-34.0,24.73,76.55,63,17,16.96
210,Narsaq,GL,2020-02-20 04:40:58,60.92,-46.05,6.8,46,93,6.93
211,Amarpur,IN,2020-02-20 04:40:58,25.03,86.9,82.31,22,100,4.07
212,Kot Samaba,PK,2020-02-20 04:40:59,28.55,70.47,75.15,27,0,24.45
213,Kochki,RU,2020-02-20 04:40:59,54.34,80.48,28.02,95,100,15.61
