City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
89,Jinxiang,CN,61.68,22.86,115.7,scattered clouds,Haiyun Holiday Hotel
91,Los Llanos De Aridane,ES,73.4,28.66,-17.92,haze,Valle Aridane
93,Codrington,AU,62.11,-38.27,141.97,overcast clouds,Codrington Gardens Bed And Breakfast
94,San Cristobal,VE,77.0,7.77,-72.22,broken clouds,Pirineos
95,Padang,ID,70.88,-0.95,100.35,clear sky,Mercure Padang
96,Muroto,JP,39.31,33.28,134.15,clear sky,Oota Ryokan
99,Sao Filipe,CV,68.52,14.9,-24.5,overcast clouds,Tortuga B&B
101,Verkhnyaya Inta,RU,21.24,65.98,60.31,broken clouds,
102,Mount Gambier,AU,57.2,-37.83,140.77,overcast clouds,Best Western Southgate Motel
104,Lagoa,PT,60.24,39.05,-27.98,few clouds,Casa Das Faias
105,Kuching,MY,77.0,1.55,110.33,scattered clouds,Hilton Kuching
106,Punta Arenas,CL,55.4,-53.15,-70.92,broken clouds,Hotel Dreams Del Estrecho
107,Te Anau,NZ,47.43,-45.42,167.72,scattered clouds,Kingsgate Hotel Te Anau
109,Cotacachi,EC,71.6,0.3,-78.27,broken clouds,La Mirage Garden Hotel And Spa
110,Laguna,US,57.99,38.42,-121.42,few clouds,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
111,Harnosand,SE,37.99,62.63,17.94,scattered clouds,First Hotel Stadt
112,Rongcheng,CN,53.01,30.63,117.85,scattered clouds,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
113,Mamallapuram,IN,81.0,12.63,80.17,mist,Radisson Blu Resort Temple Bay Mamallapuram
114,Trairi,BR,83.08,-3.28,-39.27,overcast clouds,Pousada Field Lilies - Trairi
115,Kupang,ID,83.73,-10.17,123.58,scattered clouds,Sylvia Hotel Premier Kupang
116,Thompson,CA,12.2,55.74,-97.86,broken clouds,Burntwood Hotel
117,Faanui,PF,82.67,-16.48,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
118,Saint-Pierre,RE,78.8,-21.34,55.48,few clouds,Lindsey Hôtel
119,Arraial Do Cabo,BR,80.6,-22.97,-42.03,broken clouds,Pousada Porto Praia
120,Puqi,CN,58.1,29.72,113.88,broken clouds,Ramada Plaza Chibi
121,Bredasdorp,ZA,68.0,-34.53,20.04,clear sky,Bredasdorp Country Manor
124,Fortuna,US,52.0,40.6,-124.16,scattered clouds,Super 8 By Wyndham Fortuna
125,Gwadar,PK,73.04,25.12,62.33,clear sky,Sadaf Resort
126,Nanning,CN,60.8,22.82,108.32,clear sky,Nanning Travelling With Hostel
127,Tasiilaq,GL,10.4,65.61,-37.64,overcast clouds,The Red House
129,Yerofey Pavlovich,RU,0.9,53.97,121.97,broken clouds,lounges and warm parking
131,Strezhevoy,RU,15.8,60.73,77.59,few clouds,Sibiryachka
132,Ancud,CL,62.6,-41.87,-73.82,broken clouds,HOTEL ANCUD DON LUCAS
133,Umm Lajj,SA,64.33,25.02,37.27,overcast clouds,Tanal Hotel Apartment
134,Keningau,MY,77.0,5.34,116.16,few clouds,Sabindo Hotel
135,Carnarvon,AU,77.0,-24.87,113.63,clear sky,Hospitality Carnarvon
136,Sao Joao Da Barra,BR,78.8,-21.64,-41.05,overcast clouds,Pousada Porto De Canoas
138,Miyako,JP,32.95,39.64,141.95,clear sky,Hotel Route Inn Miyako
139,Palmer,US,54.0,42.16,-72.33,few clouds,Wedgewood Motel
140,Aksu,CN,39.38,41.12,80.26,overcast clouds,Pudong Holiday Hotel
143,New Norfolk,AU,57.2,-42.78,147.06,overcast clouds,The Shingles Riverside Cottages
144,Talcahuano,CL,60.8,-36.72,-73.12,overcast clouds,Hotel Terramar
145,Luderitz,,68.49,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
146,Esperance,AU,66.2,-33.87,121.9,broken clouds,Hospitality Esperance
147,Virtsu,EE,41.0,58.57,23.51,scattered clouds,Viirelaiu Lighthouse Guesthouse
148,Maneadero,MX,62.01,31.72,-116.57,scattered clouds,Casa De Thompson
149,Kasongo-Lunda,CD,70.99,-6.47,16.82,overcast clouds,
152,Aquiraz,BR,87.8,-3.9,-38.39,broken clouds,Hotel Laguna Blu
153,Pathein,MM,75.43,16.78,94.73,clear sky,Pathein Hotel
154,Raudeberg,NO,35.6,61.99,5.14,light rain,Nordre Silda.
155,Iwanai,JP,27.9,42.97,140.51,overcast clouds,いわない高原ホテル
156,Manzanillo,CU,86.99,20.34,-77.12,clear sky,Adrian & Tonia
158,Lere,NG,79.75,10.39,8.57,scattered clouds,
159,Grindavik,IS,32.0,63.84,-22.43,light shower snow,Northern Light Inn & Max's Restaurant
160,Progreso,MX,80.01,21.28,-89.67,broken clouds,Playa Linda Hotel
161,Cape Town,ZA,75.2,-33.93,18.42,clear sky,Southern Sun Waterfront Cape Town
162,Skibbereen,IE,44.6,51.55,-9.27,light rain,The West Cork Hotel
164,Kirakira,SB,77.22,-10.45,161.92,clear sky,SanBiz Lodge
165,The Valley,AI,86.0,18.22,-63.06,few clouds,CeBlue Villas & Beach Resort
166,San Borja,BO,84.16,-14.82,-66.85,few clouds,
167,Qandala,SO,74.97,11.47,49.87,scattered clouds,
168,Bathsheba,BB,86.0,13.22,-59.52,shower rain,Atlantis Hotel
170,Baherden,TM,56.61,38.44,57.43,clear sky,
171,Portland,US,48.2,45.52,-122.68,light rain,Portland Marriott City Center
172,Mattru,SL,87.3,7.62,-11.83,scattered clouds,Boima Gbondo's Compound
173,Necochea,AR,90.0,-38.55,-58.74,clear sky,dyd -mar Hotel
174,Souillac,MU,78.01,-20.52,57.52,shower rain,Bils' Villa
175,Vostok,RU,2.64,46.49,135.88,broken clouds,
176,Xuddur,SO,80.11,4.12,43.89,broken clouds,Banjanay Hotel
177,Santa Barbara,US,62.01,34.42,-119.7,clear sky,Kimpton Canary Hotel
178,Zhangye,CN,32.14,38.93,100.45,scattered clouds,Zhangye Lvzhou Holiday Inn
179,Kruisfontein,ZA,58.96,-34.0,24.73,clear sky,Oyster Bay House Rental
180,Nishihara,JP,62.6,26.18,127.76,broken clouds,Minshuku Agaihama
182,Avera,US,60.01,33.19,-82.53,clear sky,
185,Surt,LY,55.11,31.21,16.59,few clouds,City Hotel
186,Belyy Yar,RU,14.0,53.6,91.39,clear sky,Pasportnyy Stol
187,Horsham,GB,51.8,51.06,-0.33,few clouds,Springfields Hotel
188,Vila Franca Do Campo,PT,62.6,37.72,-25.43,few clouds,Pestana Bahia Praia
189,Saint-Michel-Des-Saints,CA,37.0,46.68,-73.92,overcast clouds,Motel Du Mont trinity
190,Terney,RU,13.3,45.05,136.61,overcast clouds,"Hotel ""Ternay"""
191,Port Hardy,CA,39.2,50.7,-127.42,light intensity shower rain,Airport Inn
193,Waynesville,US,55.0,35.49,-82.99,overcast clouds,Best Western Smoky Mountain Inn
194,Dillon,US,63.0,34.42,-79.37,clear sky,Dillon Express Inn
195,Olafsvik,IS,31.48,64.89,-23.71,overcast clouds,Hotel Olafsvik
196,Taoudenni,ML,88.32,22.68,-3.98,broken clouds,
197,Villazon,BO,69.28,-22.09,-65.59,scattered clouds,La Candelaria
198,Santa Rosa,PH,77.0,14.31,121.11,few clouds,Sta Rosa Budget Room
199,Goianesia,BR,84.02,-15.32,-49.12,scattered clouds,Kamur Plaza Hotel
