City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snow inches (last 3 hours),Rain inches (last 3 hours)
89,Jinxiang,CN,2020-02-23 17:56:19,22.86,115.7,61.68,72,33,3.74,scattered clouds,0.0,0.0
90,Khatanga,RU,2020-02-23 17:56:19,71.97,102.5,12.67,92,98,15.46,light snow,0.25,0.0
91,Los Llanos De Aridane,ES,2020-02-23 17:56:20,28.66,-17.92,73.4,56,90,9.17,haze,0.0,0.0
92,Payo,ID,2020-02-23 17:56:20,-3.75,103.64,68.99,98,79,1.99,light rain,0.0,1.31
93,Codrington,AU,2020-02-23 17:52:34,-38.27,141.97,62.11,87,99,14.76,overcast clouds,0.0,0.0
94,San Cristobal,VE,2020-02-23 17:54:00,7.77,-72.22,77.0,78,75,4.7,broken clouds,0.0,0.0
95,Padang,ID,2020-02-23 17:56:21,-0.95,100.35,70.88,84,0,6.73,clear sky,0.0,0.0
96,Muroto,JP,2020-02-23 17:53:08,33.28,134.15,39.31,57,0,4.47,clear sky,0.0,0.0
97,Hithadhoo,MV,2020-02-23 17:56:21,-0.6,73.08,83.26,78,100,14.05,light rain,0.0,2.13
98,Iqaluit,CA,2020-02-23 17:54:41,63.75,-68.51,-23.01,55,20,12.75,few clouds,0.0,0.0
99,Sao Filipe,CV,2020-02-23 17:56:22,14.9,-24.5,68.52,83,100,18.84,overcast clouds,0.0,0.0
100,Qaqortoq,GL,2020-02-23 17:56:22,60.72,-46.03,24.8,58,100,8.05,light snow,1.0,0.0
101,Verkhnyaya Inta,RU,2020-02-23 17:56:22,65.98,60.31,21.24,79,53,11.56,broken clouds,0.0,0.0
102,Mount Gambier,AU,2020-02-23 17:56:23,-37.83,140.77,57.2,93,96,10.29,overcast clouds,0.0,0.0
103,Beringovskiy,RU,2020-02-23 17:56:23,63.05,179.32,-13.83,87,17,2.01,few clouds,0.0,0.0
104,Lagoa,PT,2020-02-23 17:56:23,39.05,-27.98,60.24,78,15,11.54,few clouds,0.0,0.0
105,Kuching,MY,2020-02-23 17:56:24,1.55,110.33,77.0,100,40,2.24,scattered clouds,0.0,0.0
106,Punta Arenas,CL,2020-02-23 17:51:15,-53.15,-70.92,55.4,58,75,23.04,broken clouds,0.0,0.0
107,Te Anau,NZ,2020-02-23 17:56:24,-45.42,167.72,47.43,83,38,4.32,scattered clouds,0.0,0.0
108,Vanimo,PG,2020-02-23 17:56:25,-2.67,141.3,82.33,80,100,18.84,light rain,0.0,1.37
109,Cotacachi,EC,2020-02-23 17:56:25,0.3,-78.27,71.6,49,75,2.24,broken clouds,0.0,0.0
110,Laguna,US,2020-02-23 17:56:25,38.42,-121.42,57.99,81,20,5.82,few clouds,0.0,0.0
111,Harnosand,SE,2020-02-23 17:56:25,62.63,17.94,37.99,55,40,9.17,scattered clouds,0.0,0.0
112,Rongcheng,CN,2020-02-23 17:56:26,30.63,117.85,53.01,86,43,4.79,scattered clouds,0.0,0.0
113,Mamallapuram,IN,2020-02-23 17:56:26,12.63,80.17,81.0,78,40,5.82,mist,0.0,0.0
114,Trairi,BR,2020-02-23 17:56:26,-3.28,-39.27,83.08,70,94,4.32,overcast clouds,0.0,0.0
115,Kupang,ID,2020-02-23 17:56:26,-10.17,123.58,83.73,79,50,11.65,scattered clouds,0.0,0.0
116,Thompson,CA,2020-02-23 17:52:24,55.74,-97.86,12.2,72,75,5.82,broken clouds,0.0,0.0
117,Faanui,PF,2020-02-23 17:56:27,-16.48,-151.75,82.67,70,66,10.54,broken clouds,0.0,0.0
118,Saint-Pierre,RE,2020-02-23 17:56:27,-21.34,55.48,78.8,78,20,2.24,few clouds,0.0,0.0
119,Arraial Do Cabo,BR,2020-02-23 17:56:27,-22.97,-42.03,80.6,69,75,8.05,broken clouds,0.0,0.0
120,Puqi,CN,2020-02-23 17:56:28,29.72,113.88,58.1,81,68,3.04,broken clouds,0.0,0.0
121,Bredasdorp,ZA,2020-02-23 17:51:17,-34.53,20.04,68.0,49,0,17.22,clear sky,0.0,0.0
122,Sumenep,ID,2020-02-23 17:56:28,-7.02,113.87,79.9,83,68,7.96,light rain,0.0,0.31
123,Boa Vista,BR,2020-02-23 17:55:09,2.82,-60.67,95.0,36,75,9.17,broken clouds,0.0,0.0
124,Fortuna,US,2020-02-23 17:56:29,40.6,-124.16,52.0,76,40,3.24,scattered clouds,0.0,0.0
125,Gwadar,PK,2020-02-23 17:56:29,25.12,62.33,73.04,76,0,10.69,clear sky,0.0,0.0
126,Nanning,CN,2020-02-23 17:56:29,22.82,108.32,60.8,87,0,2.24,clear sky,0.0,0.0
127,Tasiilaq,GL,2020-02-23 17:56:30,65.61,-37.64,10.4,66,96,8.46,overcast clouds,0.0,0.0
128,Upata,VE,2020-02-23 17:56:30,8.01,-62.4,93.49,34,72,5.79,broken clouds,0.0,0.0
129,Yerofey Pavlovich,RU,2020-02-23 17:56:30,53.97,121.97,0.9,87,81,3.67,broken clouds,0.0,0.0
130,Qaanaaq,GL,2020-02-23 17:56:30,77.48,-69.36,-19.57,78,24,5.01,few clouds,0.0,0.0
131,Strezhevoy,RU,2020-02-23 17:56:31,60.73,77.59,15.8,66,22,8.95,few clouds,0.0,0.0
132,Ancud,CL,2020-02-23 17:56:31,-41.87,-73.82,62.6,67,75,10.29,broken clouds,0.0,0.0
133,Umm Lajj,SA,2020-02-23 17:56:31,25.02,37.27,64.33,51,100,7.27,overcast clouds,0.0,0.0
134,Keningau,MY,2020-02-23 17:56:31,5.34,116.16,77.0,83,20,5.14,few clouds,0.0,0.0
135,Carnarvon,AU,2020-02-23 17:51:12,-24.87,113.63,77.0,83,0,10.29,clear sky,0.0,0.0
136,Sao Joao Da Barra,BR,2020-02-23 17:56:32,-21.64,-41.05,78.8,61,90,16.11,overcast clouds,0.0,0.0
137,Ust-Nera,RU,2020-02-23 17:56:32,64.57,143.2,-33.27,100,100,1.39,overcast clouds,0.0,0.0
